
Host: hartree

Form H      :       0.00u       0.00s       0.00w      1 call
Form S/X    :       0.02u       0.00s       0.00w      1 call
Guess       :       0.31u       0.00s       1.00w      1 call
Form G      :      48.29u       0.41s      50.00w     12 calls
JK: D       :       0.01u       0.00s       0.00w     12 calls
JK: USO2AO  :       0.00u       0.00s       0.00w     12 calls
JK: JK      :      48.28u       0.41s      50.00w     12 calls
JK: J       :       0.41u       0.00s       0.00w     13 calls
JK: J1      :       0.22u       0.00s       0.00w     13 calls
JK: J2      :       0.19u       0.00s       0.00w     13 calls
JK: K       :      47.45u       0.00s      50.00w     13 calls
JK: K1      :      23.35u       0.00s      25.00w     13 calls
JK: K2      :      24.10u       0.00s      25.00w     13 calls
JK: AO2USO  :       0.00u       0.00s       0.00w     12 calls
Form F      :       0.00u       0.00s       0.00w     12 calls
DIIS        :       0.14u       0.02s       0.00w     12 calls
Form C      :       0.28u       0.01s       0.00w     12 calls
Form D      :       0.01u       0.00s       0.00w     12 calls
DIISManager::add_entry:       0.02u       0.00s       0.00w     11 calls
DIISManager::extrapolate:       0.01u       0.00s       0.00w     10 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s       0.00w     10 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s       0.00w     10 calls
DIISManager::extrapolate: form new data:       0.01u       0.00s       0.00w     10 calls

***********************************************************

Host: hartree

Timers On : Mon Dec 23 13:03:51 2013
Timers Off: Mon Dec 23 13:07:10 2013

Wall Time:      199.00 seconds

Form H      :       0.00u       0.00s       0.00w      1 call
Form S/X    :       0.03u       0.00s       0.00w      1 call
Guess       :       0.31u       0.00s       1.00w      1 call
Form G      :      42.94u       2.65s      47.00w     12 calls
JK: D       :       0.03u       0.00s       0.00w     12 calls
JK: JK      :      42.91u       2.65s      47.00w     12 calls
Form F      :       0.01u       0.00s       0.00w     12 calls
DIIS        :       0.14u       0.01s       0.00w     12 calls
Form C      :       0.30u       0.01s       0.00w     12 calls
Form D      :       0.01u       0.00s       0.00w     12 calls
DIISManager::add_entry:       0.00u       0.00s       0.00w     11 calls
DIISManager::extrapolate:       0.01u       0.01s       0.00w     10 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s       0.00w     10 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.01s       0.00w     10 calls
DIISManager::extrapolate: form new data:       0.01u       0.00s       0.00w     10 calls

***********************************************************

Host: hartree

Timers On : Mon Dec 23 13:11:19 2013
Timers Off: Mon Dec 23 13:15:26 2013

Wall Time:      247.00 seconds

Form H      :       0.00u       0.00s       0.00w      1 call
Form S/X    :       0.02u       0.00s       0.00w      1 call
Guess       :       0.03u       0.00s       0.00w      1 call
Form G      :      87.92u       5.02s      95.00w     24 calls
JK: D       :       0.04u       0.00s       0.00w     24 calls
JK: JK      :      87.88u       5.02s      95.00w     24 calls
Form F      :       0.00u       0.00s       0.00w     24 calls
DIIS        :       0.31u       0.01s       0.00w     24 calls
DIISManager::add_entry:       0.01u       0.00s       0.00w     24 calls
Form C      :       0.55u       0.01s       1.00w     24 calls
Form D      :       0.06u       0.00s       0.00w     24 calls
DIISManager::extrapolate:       0.04u       0.00s       0.00w     23 calls
DIISManager::extrapolate: bMatrix setup:       0.02u       0.00s       0.00w     23 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s       0.00w     23 calls
DIISManager::extrapolate: form new data:       0.02u       0.00s       0.00w     23 calls

***********************************************************

Host: hartree

Timers On : Mon Dec 23 13:15:48 2013
Timers Off: Mon Dec 23 15:10:15 2013

Wall Time:     6867.00 seconds

Form H      :       0.04u       0.00s      30.00w     16 calls
Form S/X    :       0.34u       0.02s       0.00w     16 calls
Guess       :       0.35u       0.01s       0.00w     16 calls
Form G      :     740.31u      44.97s     794.00w    206 calls
JK: D       :       0.21u       0.00s       0.00w    206 calls
JK: JK      :     740.05u      44.97s     794.00w    206 calls
Form F      :       0.02u       0.00s       0.00w    206 calls
DIIS        :       2.49u       0.06s       4.00w    206 calls
Form C      :       4.89u       0.13s       9.00w    206 calls
Form D      :       0.29u       0.00s       0.00w    206 calls
DIISManager::add_entry:       0.05u       0.00s       0.00w    190 calls
DIISManager::extrapolate:       0.15u       0.05s       0.00w    174 calls
DIISManager::extrapolate: bMatrix setup:       0.08u       0.02s       0.00w    174 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.01u       0.00s       0.00w    174 calls
DIISManager::extrapolate: form new data:       0.06u       0.03s       0.00w    174 calls
Grad: T     :       0.24u       0.00s       0.00w     16 calls
Grad: V     :      12.03u       0.01s      14.00w     16 calls
Grad: S     :       0.15u       0.00s       0.00w     16 calls
Grad: JK    :    3582.32u       1.30s    3631.00w     16 calls
Grad: XC    :       0.00u       0.00s       0.00w     16 calls

***********************************************************
